Pressure (bar)
19
"38,8"
"37,4"
39
"36,2"
"39,7"
"40,4"
39
"38,8"
"38,8"
"39,2"
"39,5"
"6,7"
"36,5"
"41,2"
""
"39,8"
"41,3"
39
"38,8"
39
""
"0,8"
"0,8"
"40,5"
"39,2"
"39,2"
39
"13,2"
"40,1"
"27,7"
"38,6"
"40,7"
"27,9"
"39,5"
"38,9"
"36,1"
"39,2"
""
"39,5"
"39,1"
"39,9"
"37,1"
"38,5"
"39,7"
"24,8"
"39,5"
""
""
"37,5"
39
"38,3"
39
"41,2"
"3,4"
"38,9"
"13,4"
"40,2"
39
"40,7"
"39,2"
"41,2"
"38,9"
"39,9"
"31,8"
"41,3"
"1,4"
"40,4"
39
"37,2"
"38,8"
39
"38,9"
"19,4"
"39,2"
39
"40,4"
"2,8"
"39,8"
"40,7"
39
39
"39,5"
"13,1"
"39,2"
""
"39,8"
"40,6"
""
"40,4"
"40,8"
"4,5"
"38,6"
"40,6"
"4,3"
"0,8"
39
""
"38,3"
"6,1"
"41,2"
"39,2"
39
"38,9"
"39,9"
"0,7"
"39,2"
"38,8"
"40,1"
"38,2"
41
"3,2"
"39,2"
"9,7"
"40,1"
"37,5"
"39,5"
"38,8"
"22,3"
"40,5"
"39,3"
"40,7"
"40,9"
"39,9"
"38,8"
39
39
"2,8"
"39,3"
"37,4"
"38,9"
"38,2"
"0,8"
"40,3"
"4,9"
"38,8"
""
"39,4"
"0,8"
"39,5"
""
"41,3"
"38,9"
"38,8"
"41,3"
"38,8"
39
"41,1"
"37,9"
"39,3"
"39,5"
"39,9"
"38,8"
"39,5"
39
"39,3"
"38,9"
"38,7"
"0,8"
"38,9"
"38,9"
"37,1"
"39,3"
"38,9"
39
""
39
39
"40,5"
"38,8"
24
39
"38,5"
"39,5"
""
39
"40,6"
"37,9"
"38,8"
"38,9"
"40,5"
39
"39,7"
""
"40,2"
"39,9"
"38,4"
"40,6"
"41,3"
"39,5"
39
"37,9"
"39,2"
41
"14,5"
39
39
"41,2"
"36,2"
"41,3"
"39,5"
"40,3"
"39,5"
"36,8"
"39,7"
"38,6"
"38,8"
"39,7"
"40,9"
"36,2"
"39,2"
"38,9"
"6,5"
"38,9"
"38,7"
40
"38,8"
"38,8"
"15,6"
"39,3"
"40,8"
"39,8"
"3,3"
39
"0,7"
39
"38,9"
36
"22,6"
36
"17,5"
"39,2"
""
"41,2"
15
36
"5,7"
"2,3"
"39,7"
39
"37,6"
"13,7"
"39,5"
"40,3"
"40,4"
"38,9"
"38,9"
36
39
"41,2"
"36,6"
"39,9"
"1,5"
"10,6"
"40,4"
39
36
"41,2"
"37,7"
"41,2"
"38,9"
"40,9"
"3,2"
"40,2"
"39,5"
"3,7"
""
"38,8"
"38,9"
"38,1"
"38,9"
""
"2,8"
"38,6"
"38,8"
"37,5"
38
39
"39,2"
"39,2"
"39,3"
"40,7"
"37,9"
"38,9"
"38,1"
"41,2"
"41,3"
"38,8"
"39,5"
39
"40,7"
"38,9"
"41,3"
36
2
"17,9"
"38,9"
"0,8"
"36,2"
39
"29,7"
"40,9"
"40,9"
"40,5"
"39,5"
39
"39,2"
"41,3"
"41,3"
"37,2"
"3,6"
39
"40,8"
"9,4"
"41,1"
"21,4"
"3,2"
"38,9"
"39,4"
"22,6"
"39,2"
36
""
"41,2"
"23,5"
"39,1"
""
"40,7"
36
"38,9"
"40,9"
"40,5"
38
"0,7"
"38,9"
"38,8"
"41,3"
"2,6"
"36,2"
"38,9"
"39,5"
"38,8"
39
"39,3"
"41,2"
"40,1"
"7,4"
"38,8"
"40,4"
"39,5"
"39,2"
39
"39,1"
"38,9"
"2,2"
"0,9"
"39,3"
"38,8"
1
39
39
"36,9"
"10,6"
"40,7"
"38,7"
39
"2,6"
"37,9"
"41,3"
41
"6,5"
"25,2"
"41,2"
1
"12,6"
39
"39,4"
"38,8"
"38,9"
41
39
"41,2"
"39,5"
""
"39,6"
"40,5"
39
"39,1"
36
"34,2"
""
"38,9"
""
"0,8"
39
"39,2"
"37,8"
"39,4"
39
"41,3"
"40,1"
"39,9"
"40,5"
"38,8"
""
39
"40,7"
36
"36,9"
39
"38,9"
39
"38,9"
"38,8"
"39,9"
"38,8"
"38,9"
"38,9"
"7,2"
"8,6"
"39,9"
"40,7"
"41,3"
"38,8"
""
"5,7"
"36,3"
"40,8"
"40,2"
39
"38,9"
"38,9"
""
"40,5"
"3,4"
"38,9"
"37,4"
"41,2"
"40,9"
36
39
39
39
"16,1"
"39,9"
"40,3"
"39,9"
"10,3"
39
"5,7"
"41,2"
"38,9"
"41,2"
"38,9"
"1,7"
"26,5"
39
"40,4"
"38,9"
"38,8"
5
"39,3"
"39,2"
"38,8"
"3,5"
"37,4"
"38,6"
"39,7"
"38,8"
"38,8"
"38,9"
"39,5"
"39,2"
"38,9"
"10,8"
"38,1"
"40,8"
"38,8"
"2,1"
"18,7"
"39,9"
39
"41,2"
"39,5"
"24,2"
"38,4"
"38,8"
"41,2"
38
"30,8"
"21,6"
"39,6"
""
"38,8"
""
"41,1"
"26,4"
"36,2"
"41,3"
"40,7"
"18,1"
"7,1"
13
"38,9"
"39,5"
"40,9"
"2,5"
"39,8"
"38,9"
"38,8"
"40,1"
"38,8"
"38,9"
"39,1"
"1,9"
"38,6"
"40,4"
"18,6"
15
"38,8"
"36,8"
"39,7"
