paper_id,title,year,authors,journal,publication_type,doi,abstract,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,countries_mentioned,geographic_level,activity_type,emission_type,method,analysis_type,hotspots,data_sources,relevance,notes,sector_tag
53,Potentially Toxic Elements and Pb Isotopes in Mine-Draining Meža River Catchment (NE Slovenia),2022,"Goltnik, T., Burger, J., Kranjc, I., Turšič, J., & Zuliani, T.",Water,Articolo su rivista,https://doi.org/10.3390/w14070998,"In the present study it was observed that Pb, Zn, Cd and As are still present at elevated concentrations in the environment of the upper Meža Valley. In particular, the concentrations of Pb indicate possible new sources have emerged. The main objective of this study was to determine the Pb isotope composition in both the water and the sediments (fractions < 0.150 and <0.063 mm) from the Meža River and its tributaries for the first time and then use them as identifiers of Pb pollution sources. In addition, by calculating the PEC-Q values, the potential hazard of the present concentrations of Pb, Zn, Cd and As to the river environment was evaluated. The results showed elevated Pb and Zn concentrations in the water and sediments at the majority of sampling sites. In general, higher concentrations of Pb, Cd and As were determined in the <0.063 mm fraction, while Zn was higher in the <0.150 mm fraction. The isotope composition of Pb in both fractions differed slightly, indicating an additional Pb source.",river sediment,PTE,Pb isotopes,Meza River,Mining,Slovenia,NUTS 2,"Concentrazione di Pb, Zn, Cd e As nelle acque fluviali","PTEs, Pb, Zn, Cd e As","Analisi di campioni in laboratorio, analisi statistica",Ambientale,Meža River (Slovenia),"A sampling campaign was carried out in January of 2020. Water samples were collected at 7 locations along the Meža River: (1) Topla, (2) Črna 1, (3) Črna 2, (4) Žerjav 1, (5) Žerjav 2, (6) Mežica and (7) Podklanc, and on 3 tributaries: (8) Helena Rivulet, (9) Jazbina Rivulet and (10) Junčar Rivulet.",Alta,,MINING_EU
54,ASSESSMENT OF AIR POLLUTION BY AEROSOLS OVER A COAL OPEN-MINE INFLUENCED REGION IN SOUTHWESTERN ROMANIA,2024,"Dumitru, A., Olaru, E.-A., Dumitru, M., Iorga, G.",Romanian Journal of Physics,Articolo su rivista,https://doi.org/10.59277/RomJPhys.2024.69.801,"The mining activity in open-pit coal sites exerts a high pressure over the surrounding environment and on the health of people working and living nearby. Using data form a total of six field campaigns, this study aimed to capture the level of exploitation activities in the residential area close to the coal open-mine in terms of mass concentrations and total carbon fractions (TC) of ambient PM10, PM2.5 samples. Sampling campaigns were performed between spring of 2018 and spring of 2020, covered both working (full time, part-time) and non-working days at the coal exploitation, and captured also the seasonal variations of different fractions of PM and of their carbonaceous fraction. Fine fraction was also analyzed based on the aerosol Angstrom exponent, determined from measurements of the aerosol scattering coefficient at 450 nm, 550 nm and 700 nm by a nephelometer. The mass concentrations of PM and TC showed significant variations from full time working days to non-working days. The air quality (AQ) level is determined by the air quality index (AQI) specific for PM10. In situ measurements clearly indicated that AQIlocal gives better image on the level of air pollution than the AQIestim from AQ monitoring stations in the region, closest to the Matasari site. Insights into the morphology and composition of particles were obtained by scanning electron microscopy (SEM) and energy dispersive X-ray (EDX/EDS) and Fourier transform infrared spectroscopy (FTIR) analyses. Major elements that were identified C, O, Si, Ca, K, S, Cu, Ni, Fe, Mg, Ti have both crustal and anthropogenic origin, in various proportions.",air quality,particulate matter,coal,open cast mining,,Romania,NUTS 2,Coal mining in residential areas,"Air pollution (carbon oxides (COx), methane (CH4),
sulfur dioxide (SO2), and oxides of nitrogen (NOx)","gravimetric analysis, chemical analyses,",Ambientale,"Matasari, Jilt Basin (Romania)","First two sampling campaigns were performed during 10 successive days in
April 2018 and during 5 successive days in January 2019 and covered different
working levels at the coal exploitation (full time, part-time and non-working days).
Additional campaigns in summer and autumn of 2019, in winter 2019–2020, and in
spring of 2020 were performed to capture the seasonal variations of PMx fractions
and of their total organic carbonaceous fractions.  National Air Quality database",Alta,,MINING_EU
55,"Modelling the dispersion of particulate matter (PM10) via wind erosion from opencast mining—Moldova Nouă tailings ponds, Romania",2024,"Török, Z., Elisephane, I. & Ozunu, A.",Environmental Monitor and Assessment,Articolo su rivista,https://doi.org/10.1007/s10661-023-12199-1,"Historically, Romania is known as a mining site of mineral substances, including gold, silver, copper, lead, zin, uranium, manganese, salt, and coal, whereby their long periods of exploitation and extraction affected human health and the environment in various ways. In Moldova Nouă southwest region of Romania, we investigated the environmental impacts of mining activities on air quality over 2021. We quantified PM10 emission rates through in situ monitoring, dispersion modelling, and horizontal and vertical fluxes. Statistical metrics, including the fraction within factor 2 (FAC2), mean bias (MB), mean gross error (MGE), normalized mean bias (NMB), normalized mean gross error (NMGE), coefficient of efficiency (COE), index of agreements (IOAs), and Taylor diagram signifying standards deviation (SD), root mean squared error (RMSE), and correlation coefficient (R), were used to evaluate the reliability of modelling results against observation. Results conclude that PM10 dispersion agrees with MB, MGE, NMB, NMGE, COE, IOA, and Taylor diagram and moderately with FAC2 metrics. PM10 hotspot was investigated in the vicinity of the tailings ponds of 115.5 µg m−3 annual mean, 563.7 µg m−3 daily mean, 63.3 µg m−2 s−1 annual horizontal flux, and 3.0 µg m−2 s−1 annual vertical flux. PM10 dispersion was identified to expand to Moldova Nouă City and nearby country Serbia. Findings concluded that a windy air mass accumulation across the overburdened dumps and ponds causes the increase of PM10 in the air, resulting in the region’s pollution. Therefore, results recommend adopting a strategic mitigation measure for residents, policymakers, stakeholders, and urban planners.",Wind erosion,PM10,AERMOD,In situ monitoring,Horizontal flux,Romania,NUTS 2,Effetti dell'estrazione sulla salute umana e sull'ambiente,PM10 emission,"in situ monitoring, dispersion modelling, and horizontal and vertical fluxes",Ambientale,Moldova Nouă region (Romania),"Samples and  datasets monitored
by the Romanian National Air Quality Monitoring Network (RNMCA)",Alta,,MINING_EU
56,Sediments as Sentinels of Pollution Episodes in the Middle Estuary of the Tinto River (SW Spain),2023,"Cáceres, L.M., Ruiz, F., Bermejo, J., Gómez, P., Romero, V., et al.",Soil Systems,Articolo su rivista,https://doi.org/10.3390/soilsystems7040095,"Estuaries are excellent environments for identifying pollution episodes that have affected river basins, as their sediments are the final destination of some of the pollutants. This paper studies the geochemical evolution of five elements (As, Co, Cu, Pb, Zn) in a core extracted from the middle estuary of the Tinto River (SW Spain). The results are based on facies interpretation, ICP atomic emission spectrometry analysis, the application of a regional background to obtain the geoaccumulation index and dating. The main objective of this communication is the detection of natural or anthropogenic pollution episodes in the middle estuary of the Tinto River (SW Spain). Four pollution episodes have been detected: (1) ~5.8 cal. kyr BP, probably caused by natural acid rock drainage processes derived from the oxidation of the Iberian Pyritic Belt deposits found in its drainage basin; (2) 4.7–4.5 kyr BP, coming from the first mining activities and characterized by a significant increase in the concentrations of the five elements analyzed; (3) 1850–1960 interval, coinciding with intensive mining and characterized by increasing values of As and, to a lesser extent, Pb (intensive mining); and (4) the second half of the 20th century, with high element concentrations from mining and industrial effluents. All episodes show an increase in their geochemical classes deduced from the geoaccumulation index. This communication can serve as an example for assessing the impact of different types of pollution in estuarine environments.",sediment,pollution,core,geoaccumulation index,estuary,Spain,NUTS 2,Inquinamento fluviale,"Water pollution (As, Co, Cu, Pb, Zn)",Chemical analysis,Ambientale,Tinto River (Spain),chemical analysis of sixteen sediment samples,Alta,,MINING_EU
57,Long-term sediment records reveal over three thousand years of heavy metal inputs in the Mar Menor coastal lagoon (SE Spain),2023,"Pérez-Ruzafa, A., Dezileau, L., Martínez-Sánchez, M.J., von Grafenstein, U., Marcos, C., et al.",Science of Total Environment,Articolo su rivista,https://doi.org/10.1016/j.scitotenv.2023.166417,"The Mar Menor lagoon combined high biological production and environmental quality, making it an important economic engine. However, the pressure of human activities put its ecological integrity at risk, the oldest environmental impact being mining activity recorded since Roman times, about 3500 years ago, reaching its maximum intensity in the 20th century, contributing heavy metals to the lagoon sediments for almost 30 centuries. This work reviews the spatiotemporal evolution of the main heavy metals in this coastal lagoon using data from 272 surface sediment samples obtained during the last 40 years and two deep cores covering the total history of the lagoon (c. 6500 yrs BP), so as their incidence in the lagoon trophic web. The observed patterns in sedimentation, sediment characteristics and heavy metal content respond to the complex interaction, sometimes synergistic and sometimes opposing, between climatic conditions, biological production and human activities, with mining being mainly responsible for Pb, Zn and Cd inputs and port activities for Cu. High Fe/Al, Ti/Al and Zr/Al ratios identify periods of mining activity, while periods of arid climatic conditions and deforestation that increase erosion processes in the drainage basin and silt concentration in the lagoon sediments are determined by high Zr/Rb and, to a lesser extent, Zr/Al and Si/Al ratios. After the cessation of direct discharges into the lagoon in the 1950s, the recent evolution of heavy metals concentration and its spatial redistribution would be determined by hydrographic and biogeochemical processes, solubility of different elements, and coastal works in harbours and on beaches. The bioconcentration factor decreases along the trophic levels of the food web, suggesting that the lagoon ecosystem provides an important service by retaining heavy metals in the sediment, largely preventing their bioavailability, but actions involving resuspension or changes in sediment conditions would pose a risk to organisms.",Coastal lagoon,Heavy metals,Mar Menor,marine pollution,Sediments,Spain,NUTS 2,Impatto dell'estrazione sui sedimenti lagunari,Heavy metals pollution,Geochemical and data analysis of samples,"Ambientale, economica",Mar Menor lagoon (Spain),"In September 2011, two 4 m long sediment cores (MM1 and MM2)
were collected at 5 and 4 m below sea level respectively, from the bottom of the lagoon, using the UWITEC gravity coring platform
(Laboratoire des Sciences du Climat et de l’Environnement and University of Chambery)",Media,,MINING_EU
58,"Remediation potential of mining, agro-industrial, and urban wastes against acid mine drainage",2023,"Aguilar-Garrido, A., Paniagua-López, M., Sierra-Aragón, M., Martínez Garzón, F.J., Martín-Peinado, F.J.",Scientific Reports,Articolo su rivista,https://doi.org/10.1038/s41598-023-39266-4,"Acid mine drainage (AMD) poses serious consequences for human health and ecosystems. Novel strategies for its treatment involve the use of wastes. This paper evaluates the remediation potential of wastes from urban, mining and agro-industrial activities to address acidity and high concentrations of potentially toxic elements (PTE) in AMD. Samples of these waste products were spiked with an artificially prepared AMD, then pH, electrical conductivity (EC), and PTE concentrations in the leachates were measured. The artificial AMD obtained through oxidation of Aznalcóllar’s tailing showed an ultra-acid character (pH − 2.89 ± 0.03) and extreme high electrical conductivity (EC − 3.76 ± 0.14 dS m−1). Moreover, most PTE were above maximum regulatory levels in natural and irrigation waters. Wastes studied had a very high acid neutralising capacity, as well as a strong capacity to immobilise PTE. Inorganic wastes, together with vermicompost from pruning, reduced most PTE concentrations by over 95%, while organic wastes retained between 50 and 95%. Thus, a wide range of urban, mining, and agro-industrial wastes have a high potential to be used in the treatment of AMD. This study provides valuable input for the development of new eco-technologies based on the combination of wastes (eg. Technosols, permeable reactive barriers) to remediate degraded environments.",,,,,,Spain,NUTS 2,"Remediation potential of wastes from urban, mining and agro-industrial activities",Acid Mine Drainage (AMD),"QGIS 3.20 Odense sofware, chemical analyses",Ambientale,Southeast Spain,"10 waste materials (4 inorganics and 6 organics) available
in the case study region (Southeast Spain) have been selected",Alta,,MINING_EU
59,"Fluxes of settling sediment particles and associated mercury in a coastal environment contaminated by past mining (Gulf of Trieste, northern Adriatic Sea)",2023,"Pavoni, E., Petranich, E., Signore, S. et al.",Journal of Soils and Sediments,Articolo su rivista,https://doi.org/10.1007/s11368-023-03451-9,"Purpose: As the result of historical mining at Idrija (Slovenia), mercury (Hg) contamination in the Gulf of Trieste (northern Adriatic Sea) is still an issue of environmental concern. The element has been conveyed into the coastal area by the Isonzo/Soča River inputs of freshwater and suspended particles for centuries. This research aims to investigate the occurrence of Hg bound to the settling sediment particles (SSP) in the coastal water and to assess the sedimentary Hg fluxes. Methods: Settling sediment particles were collected at four sites located in the innermost sector of the Gulf, a shallow and sheltered embayment where the accumulation of fine sediments is promoted. Six sampling campaigns were performed under different environmental conditions in terms of discharge from the Isonzo River and 12 sediment traps were installed in the upper and bottom water column for SSP collection. Settling sediment particles (SSP) were collected approximately every 2 weeks and analysed for grain size and total Hg. Results: Settling sediment particles (SSP) consisted predominantly of silt (77.7 ± 10.1%), showing a concentration of Hg ranging overall between 0.61 and 6.87 µg g−1. Regarding the daily SSP fluxes, the minimum (7.05 ± 3.26 g m−2 day−1) and the maximum (92.4 ± 69.0 g m−2 day−1) values were observed under conditions of low and high river discharge, respectively. The daily Hg fluxes displayed a notable variability, up to an order of magnitude, both in the surface water layer (3.07–94.6 µg m−2 day−1) and at the bottom (11.3–245 µg m−2 day−1), reaching the maximum values following periods of high river flow. Conclusions: The Isonzo River inputs of suspended particulate matter continue to convey Hg into the Gulf of Trieste, especially following river flood events, which represent one of the most relevant natural factors affecting the variations of the Hg flux in the investigated area.",Mercury,water column,Settling sediment particles,Sediment traps,,"Italy, Slovenia",NUTS 2,Contaminazione delle acque,Contaminazione da mercurio,Chemical analysis,Ambientale,"Basin of the Gulf of Trieste, Isonzo River (Italy)","Settling sediment particles were collected at four sites located in the innermost sector of the Gulf, a shallow and sheltered embayment where the accumulation of fne sediments is promoted. Six sampling campaigns were performed under diferent environmental conditions in terms of discharge from the Isonzo River and 12 sediment traps were installed in the upper and bottom water column for SSP collection. Settling sediment particles (SSP) were collected approximately every 2 weeks and analysed for grain size and total Hg",Alta,,MINING_EU
60,Research on the Closure and Remediation Processes of Mining Areas in Romania and Approaches to the Strategy for Heavy Metal Pollution Remediation,2023,"Radu, V.M., Vîjdea, A.M., Ivanov, A.A., Cetean, V.M., Filiuță, A.E., et al.",Sustainability,Articolo su rivista,https://doi.org/10.3390/su152115293,"Mining activities often generate important amounts of extractive waste, and, as a consequence, environmental impacts that affect all factors to a greater or lesser extent. Depending on a variety of variables, the impact can be permanent or temporary, reversible or irreversible, negative or positive. This study conducted research on the status of closure and remediation processes of mining areas in Romania, specifically in the counties of Maramureș, Suceava, Harghita, Alba, Hunedoara and Caraș-Severin. Furthermore, based on the type and level of pollution, the degree of application of remediation techniques for water and soil pollution in the investigated mining areas was studied. From the analysed information, it is evident that although the closure and remediation process started in Romania over 20 years ago, unfortunately, to this day, the technical projects, technical assistance, and execution of closure and remediation works have not yet completely solved the complex environmental issues in the mining sector. Most of the tailing ponds and waste piles of former mines continue to pose permanent specific risks to the environment and the population. This study concludes that the mining sector in Romania, although it has the necessary techniques and technologies for the ecological rehabilitation of degraded lands related to the Extractive Waste Facilities and the elimination of negative impacts on the environment and public health, has not yet been able to fully concretize its remediation efforts.",heavy metals,mining activities,pollution,remediation,,Romania,NUTS 2,Processi di chiusura e bonifica delle aree minerarie,Extractive waste,Stato dell'arte,Ambientale,"Apuseni Mountains, Baia Mare, Banat and East Carpathians regions (Romania)","Data about Romanian mining sector, as well as at regional level",Alta,,MINING_EU
61,"Mercury distribution in plants and soils from the former mining area of Abbadia San Salvatore (Tuscany, Central Italy)",2023,"Meloni, F., Farieri, A., Higueras, P.L. et al.",Environmental Geochemistry and Health,Articolo su rivista,https://doi.org/10.1007/s10653-023-01739-w,"The distribution of heavy metals in plants (Castanea sativa, Sambucus nigra, Verbascum thapsus, Popolus spp., Salix spp., Acer pseudoplatanus, Robinia pseudoacacia) growing in soils from active and abandoned mining areas is of scientific significance as it allows to recognize their ability to survive in a hostile environment and provide useful indications for phytoremediation operations. In this work, soils from the former Hg-mining area of Abbadia San Salvatore (Tuscany, Central Italy) were analyzed for total, leached Hg, % of organic and inorganic-related Hg. The dehydrogenase enzyme activity (DHA) was also measured with the aim to evaluate the status of the soil, being characterized by high Hg contents (up to 1068 mg kg−1). Eventually, the concentration of Hg in the different parts of the plants growing on these soils was also determined. Most studied soils were dominated by inorganic Hg (up to 92%) while the DHA concentrations were < 151 µg TPF g−1 day−1, suggesting that the presence of Hg is not significantly affecting the enzymatic soil activity. This is also supported by the bioaccumulation factor (BF), being predominantly characterized by values < 1. Sambucus nigra and Verbascum thapsus had the highest Hg contents (39.42 and 54.54 mg kg−1, respectively). The plant leaves appear to be the main pathways of Hg uptake, as also observed in other mining areas, e.g., Almadèn (Spain), indicating that particulate-Hg and Hg0 are the main forms entering the plant system, the latter derived by the GEM emitted by both the edifices hosting the roasting furnaces and the soils themselves.",Mt. Amiata,Mercury,Plant uptake,Soils and plants,Bioaccumulation factor,Italy,NUTS 2,Heavy metals in plants growing in soils from active and abandoned mining areas,Heavy metals pollution,Chemical analysis,Ambientale,"Abbadia San
Salvatore (Tuscany, Italy)",Twenty-four plants and related soil collected,Media,,MINING_EU
62,Socioeconomic assessment of the restoration of highly modified coastal ecosystems by mining activities,2023,"	

Perni, Á., Martínez-Paz, J.M.",Environmental Impact Assessment Review,Articolo su rivista,https://doi.org/10.1016/j.eiar.2023.107251,"Highly modified coasts are associated to sub-optimal provision of ecosystem services, causing biodiversity losses and negative impacts on social welfare. Although ecological arguments can justify the restoration of coastal environments, technical, social and economic issues often pose complex obstacles to implement efficient restorations. Indeed, there is a lack of socioeconomic assessments in both academic literature and policy decision-making showing whether the restoration of highly modified coasts are socially acceptable and economically efficient. This paper presents the case of the Portmán Bay (SE Spain), described as the most polluted coastal area by mining activities in the entire Mediterranean region. The question on how to restore the bay has been under debate for decades and there is not social and political consensus about its restoration yet. Our results suggest that, in terms of social preferences and net benefits, the preferred alternative would be to recover the coast and improve habitat continuity between the bay and other adjacent natural areas. Development of other economic activities incompatible with natural conservation could only compensate social welfare losses by increasing public taxation on private sector. Our results confirm that, once social preferences are taken into account, the restoration of heavily modified coastal ecosystems can be economically efficient even though it implies significant technical constraints and high public expenditures.",Cost-benefit analysis,Social preferences,Coastal ecosystem services,Mining,Environmental restoration,Spain,NUTS 2,Impatto delle attività minerarie sulle coste,Water pollution,Cost-benefit analysis; Contingent Valuation method (CV),"Ambientale, economica",Portman Bay (SE Spain),"Block 1. Perceptions about environmental problems.
− Block 2. The Portm´
an Bay: perceptions, opinions and visit frequency.
− Block 3. Contingent valuation questions.
− Block 4. Evaluation of respondents' ecological commitment.
− Block 5. Socio-demographic characteristics. ",Alta,,MINING_EU
63,The legacy of metallurgical atmospheric contamination in a mountainous catchment: A delayed response of Pb contamination,2023,"Guillevic, F., Arnaud, F., Rossi, M., Quantin, C., Monvoisin, G., et al.",Science of Total Environment,Articolo su rivista,https://doi.org/10.1016/j.scitotenv.2023.165127,"Metal-rich fumes emitted during ore smelting contribute to widespread anthropogenic contamination. Environmental archives (such as lake sediments) record fallouts deposited on lake and terrestrial surfaces during ancient mining and smelting activities. However, very few is known about the potential buffering effect of soils upon which metal falls out, prior to be released through runoff and or/erosion, hence leading to pervasive contamination fluxes long after the ceasing of metallurgical activities. Here we aim at assessing this long-term remobilisation in a mountainous catchment area. Lake sediments and soils were collected 7 km upward a 200-year-old historic mine. The Pb–Ag mine of Peisey-Nancroix was operated between the 17th and the 19th centuries with a documented smelting period of 80 years. In lake sediments, the total Pb content varies from 29 mg.kg−1 prior smelting to 148 mg.kg−1 during ore smelting. Pb isotopes in lake sediments and soils provide evidence of anthropogenic Pb from the local ore (206Pb/207Pb = 1.173; 208Pb/206Pb = 2.094) during and after smelting, suggesting anthropogenic Pb remobilisation for 200 years. The accumulation rates of anthropogenic Pb calculated in lake sediments after the smelting period confirm such a remobilisation. Despite a decrease in this accumulation rate through time, soils still contain significant stocks of anthropogenic Pb (54–89 % of PbANTH). The distribution of present-day anthropogenic Pb in the catchment area depends mainly on topographic characteristics. Coupling lake sediments and soils investigations is thus necessary to constrain the long-term persistence and remobilisation of a diffuse contamination related to mining activities.",Contaminant legacy,Ore smelting,Pb contamination,Pb inventories,Soil remobilisation,France,NUTS 2,Impatto della raffinazione su bacini idrografici montuosi,Soil and water pollution (Pb),High-resolution elemental EDS-XRF analyses,Ambientale,Mine of Peisey-Nancroix (France),5 sediments core  were collected in the centre of Lake La Plagne in July 2019,Media,,MINING_EU
64,Mercury occurrence and speciation in sediments from hard coal mining in Czechia,2023,"Vöröš, D., Baizán, P.D., Slavíček, K., Díaz-Somoano, M., Geršlová, E.",Journal of Hazardous Materials,Articolo su rivista,https://doi.org/10.1016/j.jhazmat.2023.132204,"This study examines Hg distribution in stream sediments impacted by hard coal mining in the Upper Silesian Coal Basin (USCB), Czechia. By means of a comparative analysis, geological samples and samples from stream sediments were used to carry out a comprehensive assessment of the effects of anthropogenic activities on Hg distribution and speciation. Total Hg (THg), total organic and inorganic carbons (TOC and TIC), and total sulphur (TS) were measured in the samples to reveal a potential relationship. In addition, THg and TS species were discussed in order to elucidate their mobility pattern in the environment. The results have shown that there are no correlations between THg, TS, and TOC indicating overlapping Hg sources attributed to industrial processes. Geological samples, particularly coal and associated sedimentary rocks, contained lower Hg concentrations compared to a variety of stream sediments. The main Hg species identified in the samples was a stable β-HgS, which decreases its mobility in the riverine environment. It follows that Hg enrichment and speciation is linked to industrial processes, which are the main origin/cause for Hg enrichment and transformation. Minor proportions of HgO in some samples show Hg oxidation upon diagenesis, while HgCl2 is attributed to the chemical loads from the former coking plant.",Mercury,Speciation,Mine water,Streams,Coal industry,Czech Republic,NUTS 2,Impatto delle attività minerarie sui sedimenti fluviali,Soil and water pollution (Hg),Analisi chimica di campioni in laboratorio,Ambientale,Upper Silesian Coal Basin -USCB (Czech Republic),"61 geological samples, including deep
borehole rocks and coal seams",Alta,,MINING_EU
65,Mobility of antimony in contrasting surface environments of a mine site: influence of redox conditions and microbial communities,2023,"Peco, J.D., Thouin, H., Esbrí, J.M., Higueras, P.L., Battaglia-Brunet, F., et al.",Environmental Science and Pollution Research,Articolo su rivista,https://doi.org/10.1007/s11356-023-29734-9,"Microbial processes can influence the complex geochemical behaviour of the toxic metalloid antimony (Sb) in mining environments. The present study is aimed to evaluate the influence of microbial communities on the mobility of Sb from solid phases to water in different compartments and redox conditions of a mining site in southwest (SW) Spain. Samples of surface materials presenting high Sb concentrations, from two weathered mining waste dumps, and an aquatic sediment were incubated in slurries comparing oxic and anoxic conditions. The initial microbial communities of the three materials strongly differed. Incubations induced an increase of microbial biomass and an evolution of the microbial communities’ structures and compositions, which diverged in different redox conditions. The presence of active bacteria always influenced the mobility of Sb, except in the neutral pH waste incubated in oxic conditions. The effect of active microbial activities in oxic conditions was dependent on the material: Sb oxic release was biologically amplified with the acidic waste, but attenuated with the sediment. Different bacterial genera involved in Sb, Fe and S oxidation or reduction were present and/or grew during incubation of each material. The results highlighted the wide diversity of microbial communities and metabolisms at the small geographic scale of a mining site and their strong implication in Sb mobility.",Antimony mine,Microbial communities,Redox conditions,Microcosms,,Spain,NUTS 2,Discariche di rifiuti minerari,Soil and water pollution (Sb),Chemical analysis,Ambientale,"Susana mine, La Puebla de Alcocer, Badajoz Province (Spain)","Two samples were taken from a mine
waste dump, including acidic pH waste (AW) and neutral pH
waste (NW). The third sample corresponded to a sediment
(neutral pH aquatic sediment (NAS)) taken from a small,
fooded area",Media,,MINING_EU
66,Spatial assessment of topsoil zinc concentrations in Europe,2023,"Van Eynde, E., Fendrich, A.N., Ballabio, C., Panagos, P.",Science of Total Environment,Articolo su rivista,https://doi.org/10.1016/j.scitotenv.2023.164512,"Zinc (Zn) is essential to sustain crop production and human health, while it can be toxic when present in excess. In this manuscript, we applied a machine learning model on 21,682 soil samples from the Land Use and Coverage Area frame Survey (LUCAS) topsoil database of 2009/2012 to assess the spatial distribution in Europe of topsoil Zn concentrations measured by aqua regia extraction, and to identify the influence of natural drivers and anthropogenic sources on topsoil Zn concentrations. As a result, a map was produced showing topsoil Zn concentrations in Europe at a resolution of 250 m. The mean predicted Zn concentration in Europe was 41 mg kg−1, with a root mean squared error of around 40 mg kg−1 calculated for independent soil samples. We identified clay content as the most important factor explaining the overall distribution of soil Zn in Europe, with lower Zn concentrations in coarser soils. Next to texture, low Zn concentrations were found in soils with low pH (e.g. Podzols), as well as in soils with pH above 8 (i.e., Calcisols). The presence of deposits and mining activities mainly explained the occurrence of relatively high Zn concentrations above 167 mg kg−1 (the one percentile highest concentrations) within 10 km from these sites. In addition, the relatively higher Zn levels found in grasslands in regions with high livestock density may point to manure as a significant source of Zn in these soils. The map developed in this study can be used as a reference to assess the eco-toxicological risks associated with soil Zn concentrations in Europe and areas with Zn deficiency. In addition, it can provide a baseline for future policies in the context of pollution, soil health, human health, and crop nutrition.",Zinc,Micronutrients,Soil contamination,Quantile regression forest,LUCAS,EU 27,"NUTS 2, Nazionale",Inquinamento del suolo,Soil pollution (Zn),"Modelling, machine learning methods, digital soil mapping","Ambientale, industriale","Malta, Slovenia, Luxembourg, Bulgaria, Romania, Belgium","LUCAS topsoil database (21,342 soil samples);",Alta,,MINING_EU
67,"Mercury in the Barents region – River fluxes, sources, and environmental concentrations",2023,"Gundersen, C.B., Yakushev, E., Terentjev, P., Steindal, E.H., Veiteberg Braaten, H.F., et al.",Environmental Pollution,Articolo su rivista,https://doi.org/10.1016/j.envpol.2023.122055,"Arctic rivers are receiving increased attention for their contributing of mercury (Hg) to the Arctic Ocean. Despite this, the knowledge on both the terrestrial release sources and the levels of Hg in the rivers are limited. Within the Arctic, the Barents region has a high industrial development, including multiple potential Hg release sources. This study presents the first overview of potential Hg release sources on Norwegian and Russian mainland draining to the Barents Sea. Source categories cover mining and metallurgy industry; historical pulp and paper production; municipal and industrial solid waste handling; fossil fuel combustion; and past military activities. Available data on Hg in freshwater bodies near the identified potential release sources are reviewed. Levels of Hg were occasionally exceeding the national pollution control limits, thereby posing concern to the local human population and wildlife. However, the studies were sparse and often unsystematic. Finally, we present new data of Hg measured in five Barents rivers. These data reveal strong seasonality in the Hg levels, with a total annual flux constituting 2% of the panarctic total. With this new insight we aspire to contribute to the international efforts of reducing Hg pollution, such as through the effective implementation of the Minamata Convention. Future studies documenting Hg in exposed Barents freshwater bodies are warranted.",Mercury,The Minamata Convention,Relase sources,River fluxes,Arctic,Norway,NUTS 2,Inquinamento dei fiumi artici,Water pollution (Hg),Chemical analysis,"Ambientale, industriale",Troms and Finnmark county (Norway),"Peer-reviewed literature, reports, existing databases, e.g., the Barents Euro-Arctic Cooperation (BEAC), Working Group on Environment (WGE), Subgroup on Hot Spots Exclusion (SHE),
ongoing monitoring programmes, and expert opinions from researchers,
governmental employees, and local stakeholders in Norway;  Norwegian rivers (Målselv, Alta, Tana, and Pasvik) were sampled monthly during 2019 and 2020.",Alta,,MINING_EU
68,"Trace metals from different anthropic sources on the mid-west coast of Asturias: Concentrations, dispersion and environmental considerations",2023,"	

Mangas-Suarez, M., Barquero, J.I., Navarro-Murillo, E., Roqueñí, N., Garcia-Ordiales, E.",Marine Pollution Bulletin,Articolo su rivista,https://doi.org/10.1016/j.marpolbul.2023.115446,"The central coast of Asturias (Spain), which has suffered significant anthropogenic impacts during the last 150 years, has been studied using 71 sediment samples to establish a preliminary scenario of the geochemical and environmental state of sediments, relating them to their potential sources. In general, As (max 28.5 μg g−1), Cd (max 1.1 μg g−1), Pb (max 123.5 μg g−1) and Zn (max 572 μg g−1) were the elements that presented the greatest concern due to 97.2 % of the sediment samples presented Cd concentrations higher than the regional baseline, 91.5 % of the samples for Zn, 90.1 % for Pb and 78.9 % for As. Additionally, Hg presents a particular case due to the existence of a natural geological anomaly which favours the presence of high concentrations. Nevertheless, anthropic activity contributes with a significant effect on the concentration of this element in the coastal environment.",Sediments,Anthropic sources,Contamination,Mining,Industrial waste,Spain,NUTS 2,Inquinamento del suolo e dell'acqua,Water and soil pollution,Chemical analysis,Ambientale,Asturias region (Spain),A total of 71 sediment samples of approximately 3 kg were collected along the study area,Media,,MINING_EU
